Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,0.4,,"(71.53, 0.79)","(71.56, 0.85)","(72.31, 0.5)","(72.43, 0.55)","(33.29, 3.56)","(29.98, 3.15)","(107.48, 4.23)","(54.07, 1.43)","(133.93, 5.08)","(107.69, 4.74)"
emt-dlfr,0.5,,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,0.6,,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,0.7,,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,0.8,,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,0.9,,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,1.0,,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,AUC,,68.1,67.6,68.8,68.4,31.7,29.2,114.0,44.0,138.9,114.0
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(79.93, 0.95)","(79.87, 0.89)","(81.6, 1.07)","(81.61, 1.01)","(48.44, 1.89)","(43.39, 1.74)","(79.23, 1.69)","(75.07, 0.63)","(97.77, 1.43)","(79.37, 1.45)"
emt-dlfr,0.2,,"(78.33, 0.14)","(78.36, 0.13)","(79.62, 0.08)","(79.72, 0.04)","(45.24, 1.43)","(40.47, 1.25)","(86.99, 1.63)","(69.76, 0.73)","(105.94, 2.58)","(87.0, 2.4)"
emt-dlfr,0.3,,"(75.22, 1.06)","(75.25, 1.05)","(76.12, 1.25)","(76.22, 1.23)","(40.53, 0.63)","(35.96, 0.61)","(95.28, 1.98)","(63.41, 0.71)","(116.6, 1.96)","(95.56, 1.81)"
emt-dlfr,0.4,,"(72.21, 0.96)","(72.15, 1.06)","(73.17, 0.76)","(73.2, 0.85)","(33.77, 3.3)","(30.95, 2.2)","(107.16, 4.35)","(53.19, 3.81)","(127.94, 5.38)","(106.46, 4.33)"
emt-dlfr,0.5,,"(69.19, 1.13)","(69.22, 1.11)","(69.76, 0.63)","(69.9, 0.61)","(29.25, 2.72)","(27.36, 2.2)","(118.34, 2.3)","(46.62, 2.77)","(139.73, 2.22)","(118.02, 2.24)"
emt-dlfr,0.6,,"(64.48, 3.21)","(64.17, 3.74)","(64.53, 3.49)","(64.34, 4.02)","(26.1, 2.28)","(24.68, 2.16)","(131.06, 9.91)","(36.76, 4.34)","(153.89, 10.42)","(131.62, 10.22)"
emt-dlfr,0.7,,"(61.71, 2.68)","(61.2, 2.3)","(62.55, 3.63)","(62.22, 3.25)","(25.46, 0.84)","(24.3, 0.97)","(133.24, 7.08)","(30.52, 1.36)","(153.66, 5.87)","(132.77, 6.92)"
emt-dlfr,0.8,,"(55.05, 1.6)","(53.98, 2.66)","(54.32, 2.04)","(53.41, 3.08)","(16.96, 2.13)","(16.81, 1.92)","(146.65, 3.22)","(11.73, 7.41)","(169.52, 2.08)","(146.3, 2.94)"
emt-dlfr,0.9,,"(53.25, 1.0)","(51.97, 1.7)","(52.14, 1.4)","(51.07, 2.08)","(15.5, 0.18)","(15.5, 0.18)","(143.07, 0.45)","(8.26, 0.87)","(166.61, 1.75)","(143.16, 0.35)"
emt-dlfr,1.0,,"(54.52, 1.4)","(53.48, 1.75)","(53.86, 2.23)","(53.01, 2.48)","(16.13, 0.5)","(16.13, 0.5)","(144.28, 3.28)","(7.42, 0.54)","(167.73, 4.12)","(143.9, 3.55)"
emt-dlfr,AUC,,67.8,67.4,68.3,68.1,31.5,29.0,114.9,43.9,135.2,114.8
emt-dlfr,0.0,,"(83.09, 0.86)","(82.99, 0.87)","(85.16, 0.87)","(85.12, 0.87)","(54.13, 1.44)","(47.23, 0.93)","(70.36, 0.67)","(79.87, 0.31)","(70.23, 1.12)","(70.23, 1.12)"
emt-dlfr,0.1,,"(79.45, 0.86)","(79.45, 0.83)","(81.05, 1.0)","(81.12, 0.98)","(48.98, 1.86)","(43.29, 1.46)","(79.66, 2.73)","(75.21, 1.17)","(103.39, 2.58)","(79.96, 2.62)"
emt-dlfr,0.2,,"(77.84, 0.52)","(77.88, 0.5)","(79.12, 0.65)","(79.22, 0.62)","(42.95, 1.18)","(38.78, 0.52)","(88.13, 0.42)","(69.33, 0.31)","(111.76, 1.05)","(88.23, 0.77)"
emt-dlfr,0.3,,"(75.85, 0.38)","(75.91, 0.38)","(76.68, 0.57)","(76.81, 0.56)","(40.72, 1.07)","(36.59, 0.54)","(96.19, 1.65)","(63.08, 0.85)","(120.0, 0.59)","(95.81, 1.87)"
emt-dlfr,0.4,,"(71.82, 0.86)","(71.81, 0.9)","(72.41, 0.87)","(72.48, 0.9)","(37.27, 0.14)","(33.43, 0.25)","(104.86, 2.4)","(55.63, 0.73)","(129.89, 3.07)","(104.54, 2.19)"
emt-dlfr,0.5,,"(67.93, 0.62)","(67.85, 0.83)","(68.34, 1.11)","(68.37, 1.3)","(31.34, 3.35)","(28.33, 3.03)","(122.78, 7.25)","(45.72, 1.91)","(152.01, 7.59)","(123.93, 7.65)"
emt-dlfr,0.6,,"(65.35, 0.66)","(65.45, 0.65)","(66.01, 0.62)","(66.21, 0.62)","(28.04, 0.6)","(25.95, 0.66)","(127.01, 1.86)","(36.13, 1.12)","(153.86, 2.53)","(126.11, 1.53)"
emt-dlfr,0.7,,"(62.63, 1.74)","(61.62, 2.82)","(63.41, 1.44)","(62.61, 2.14)","(23.23, 2.47)","(22.11, 1.93)","(134.44, 3.32)","(29.8, 5.02)","(163.95, 3.11)","(134.6, 2.96)"
emt-dlfr,0.8,,"(58.21, 1.29)","(58.06, 1.19)","(57.98, 1.0)","(57.96, 0.84)","(20.51, 1.71)","(20.46, 1.74)","(138.7, 1.38)","(14.83, 5.73)","(169.36, 1.12)","(139.2, 1.06)"
emt-dlfr,0.9,,"(51.56, 5.02)","(45.8, 12.91)","(50.61, 6.16)","(44.93, 14.16)","(17.1, 0.59)","(17.1, 0.59)","(143.63, 2.74)","(7.38, 0.88)","(176.21, 6.09)","(143.94, 2.31)"
emt-dlfr,1.0,,"(55.05, 1.07)","(54.89, 1.29)","(54.88, 1.44)","(54.87, 1.63)","(15.55, 0.48)","(15.55, 0.48)","(142.61, 1.46)","(5.91, 0.87)","(175.37, 4.72)","(142.94, 1.01)"
emt-dlfr,AUC,,68.0,67.3,68.6,68.0,32.5,29.7,114.2,44.0,140.3,114.3
emt-dlfr,0.0,,"(83.14, 0.6)","(83.09, 0.6)","(85.06, 0.69)","(85.08, 0.69)","(51.36, 0.77)","(45.19, 0.78)","(72.14, 0.98)","(79.67, 0.45)","(72.25, 1.16)","(72.25, 1.16)"
emt-dlfr,0.1,,"(81.05, 0.43)","(81.04, 0.41)","(82.82, 0.5)","(82.87, 0.48)","(49.32, 0.45)","(43.97, 0.59)","(77.79, 0.83)","(75.92, 0.44)","(100.94, 0.81)","(78.02, 0.56)"
emt-dlfr,0.2,,"(77.16, 0.57)","(77.2, 0.54)","(78.46, 0.64)","(78.56, 0.61)","(44.17, 0.66)","(39.07, 0.43)","(87.96, 1.61)","(69.62, 1.42)","(112.13, 0.93)","(87.77, 1.45)"
emt-dlfr,0.3,,"(76.29, 0.61)","(76.27, 0.61)","(77.54, 0.76)","(77.6, 0.72)","(42.27, 0.12)","(37.95, 0.3)","(92.61, 1.8)","(64.84, 0.87)","(117.53, 3.69)","(92.35, 2.37)"
emt-dlfr,0.4,,"(71.53, 0.79)","(71.56, 0.85)","(72.31, 0.5)","(72.43, 0.55)","(33.29, 3.56)","(29.98, 3.15)","(107.48, 4.23)","(54.07, 1.43)","(133.93, 5.08)","(107.69, 4.74)"
emt-dlfr,0.5,,"(69.34, 1.6)","(69.34, 1.68)","(70.12, 1.96)","(70.23, 2.02)","(28.52, 1.42)","(27.26, 1.44)","(120.05, 4.36)","(44.65, 2.31)","(146.65, 4.02)","(120.12, 4.37)"
emt-dlfr,0.6,,"(64.63, 1.31)","(64.62, 1.23)","(65.25, 1.4)","(65.34, 1.32)","(26.34, 1.6)","(25.56, 1.33)","(126.76, 4.82)","(34.01, 4.14)","(153.16, 3.28)","(126.67, 4.34)"
emt-dlfr,0.7,,"(60.88, 0.25)","(60.14, 0.81)","(61.38, 1.03)","(60.83, 0.77)","(22.55, 3.73)","(22.01, 3.27)","(134.71, 0.77)","(27.49, 4.66)","(160.81, 2.63)","(134.26, 0.77)"
emt-dlfr,0.8,,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,0.9,,"(53.98, 1.63)","(52.95, 2.42)","(53.15, 2.33)","(52.32, 3.07)","(16.04, 0.21)","(16.04, 0.21)","(145.39, 1.26)","(5.48, 1.71)","(174.54, 1.43)","(145.77, 1.3)"
emt-dlfr,1.0,,"(50.78, 4.32)","(44.55, 12.0)","(49.34, 5.13)","(43.22, 12.92)","(16.38, 0.5)","(16.38, 0.5)","(146.93, 4.23)","(8.27, 0.27)","(175.97, 5.26)","(146.92, 3.95)"
emt-dlfr,AUC,,68.1,67.6,68.8,68.4,31.7,29.2,114.0,44.0,138.9,114.0
emt-dlfr,0.0,,"(82.31, 0.37)","(82.22, 0.32)","(84.1, 0.59)","(84.06, 0.54)","(54.57, 1.51)","(47.28, 1.47)","(71.06, 0.87)","(79.5, 0.46)","(70.99, 0.72)","(70.99, 0.72)"
emt-dlfr,0.1,,"(80.52, 0.56)","(80.49, 0.57)","(82.16, 0.57)","(82.21, 0.58)","(49.22, 0.38)","(43.39, 0.42)","(77.01, 0.49)","(76.25, 0.65)","(99.4, 0.76)","(76.51, 0.14)"
emt-dlfr,0.2,,"(78.47, 0.38)","(78.48, 0.39)","(79.83, 0.36)","(79.89, 0.37)","(43.93, 1.13)","(39.21, 0.83)","(87.55, 2.41)","(69.54, 1.1)","(109.93, 1.89)","(87.14, 2.03)"
emt-dlfr,0.3,,"(75.32, 0.36)","(75.33, 0.37)","(76.22, 0.57)","(76.31, 0.56)","(39.7, 1.36)","(35.32, 1.33)","(97.06, 3.11)","(62.47, 0.77)","(122.78, 6.07)","(97.58, 3.54)"
emt-dlfr,0.4,,"(73.23, 0.38)","(73.26, 0.41)","(73.78, 0.38)","(73.89, 0.39)","(35.03, 0.9)","(31.24, 1.01)","(105.32, 0.4)","(55.25, 0.44)","(129.47, 1.36)","(105.45, 0.18)"
