Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,0.5,,"(69.78, 0.93)","(69.8, 1.0)","(70.12, 1.11)","(70.25, 1.17)","(31.53, 1.91)","(28.33, 1.85)","(114.59, 4.36)","(50.21, 1.56)","(142.42, 6.32)","(114.21, 4.41)"
emt-dlfr,0.6,,"(67.06, 0.9)","(67.07, 0.87)","(67.53, 1.18)","(67.65, 1.14)","(32.17, 1.19)","(29.25, 1.27)","(120.01, 4.07)","(41.53, 1.56)","(149.31, 3.51)","(120.03, 3.38)"
emt-dlfr,0.7,,"(63.95, 0.36)","(63.62, 0.58)","(63.97, 0.59)","(63.78, 0.89)","(27.89, 1.03)","(25.61, 1.01)","(128.0, 2.55)","(38.27, 0.95)","(158.93, 2.98)","(128.35, 2.92)"
emt-dlfr,0.8,,"(63.02, 0.49)","(62.95, 0.52)","(62.65, 0.57)","(62.74, 0.62)","(27.31, 1.49)","(25.36, 1.65)","(132.19, 3.45)","(31.8, 2.8)","(163.85, 3.6)","(131.7, 3.65)"
emt-dlfr,0.9,,"(57.77, 1.6)","(56.89, 1.91)","(57.32, 1.73)","(56.58, 2.04)","(21.52, 1.12)","(21.28, 1.05)","(141.79, 0.41)","(21.93, 3.48)","(174.38, 1.1)","(141.6, 0.25)"
emt-dlfr,1.0,,"(53.84, 2.3)","(51.86, 5.03)","(53.3, 3.2)","(51.46, 5.9)","(16.33, 0.24)","(16.33, 0.24)","(144.52, 3.85)","(5.39, 1.18)","(178.78, 3.54)","(144.35, 3.58)"
emt-dlfr,AUC,,69.8,69.6,70.4,70.3,34.4,31.3,110.6,49.4,137.8,110.5
emt-dlfr,0.0,,"(82.36, 0.36)","(82.28, 0.31)","(84.4, 0.5)","(84.39, 0.46)","(52.53, 0.56)","(46.07, 1.04)","(71.02, 1.45)","(80.03, 0.24)","(71.05, 1.47)","(71.05, 1.47)"
emt-dlfr,0.1,,"(81.34, 0.2)","(81.24, 0.18)","(83.03, 0.19)","(82.98, 0.16)","(48.64, 1.29)","(42.37, 0.45)","(76.64, 1.07)","(76.36, 0.57)","(102.51, 2.18)","(76.39, 0.99)"
emt-dlfr,0.2,,"(79.15, 0.21)","(79.16, 0.18)","(80.44, 0.31)","(80.51, 0.29)","(44.8, 1.74)","(40.04, 1.67)","(84.81, 1.39)","(71.19, 0.43)","(108.13, 1.94)","(84.31, 1.23)"
emt-dlfr,0.3,,"(77.31, 0.6)","(77.36, 0.59)","(78.25, 0.52)","(78.38, 0.51)","(41.54, 2.03)","(37.27, 1.77)","(93.59, 2.12)","(65.36, 0.92)","(118.53, 3.36)","(93.69, 1.85)"
emt-dlfr,0.4,,"(72.5, 0.42)","(72.52, 0.45)","(73.32, 0.43)","(73.42, 0.46)","(37.66, 0.3)","(33.77, 0.55)","(103.19, 2.18)","(56.53, 1.36)","(129.72, 3.08)","(103.12, 2.16)"
emt-dlfr,0.5,,"(69.29, 0.37)","(69.29, 0.38)","(69.67, 0.87)","(69.77, 0.88)","(32.41, 0.42)","(29.3, 0.6)","(114.03, 2.61)","(49.49, 1.07)","(142.72, 3.62)","(114.12, 2.55)"
emt-dlfr,0.6,,"(67.88, 0.38)","(67.95, 0.37)","(68.29, 0.45)","(68.47, 0.45)","(32.07, 0.66)","(29.2, 0.86)","(120.9, 2.31)","(41.05, 1.65)","(150.16, 1.94)","(121.15, 1.75)"
emt-dlfr,0.7,,"(64.28, 0.83)","(64.19, 0.85)","(64.63, 0.86)","(64.65, 0.88)","(27.26, 0.55)","(25.37, 0.54)","(127.03, 1.6)","(38.41, 2.13)","(158.18, 2.81)","(126.64, 1.55)"
emt-dlfr,0.8,,"(61.18, 0.45)","(60.47, 0.53)","(60.37, 0.5)","(59.86, 0.57)","(22.3, 1.14)","(20.8, 1.08)","(134.04, 1.45)","(31.74, 0.83)","(167.29, 2.9)","(134.33, 1.62)"
emt-dlfr,0.9,,"(56.07, 0.81)","(54.36, 1.13)","(55.18, 0.87)","(53.64, 1.27)","(20.85, 1.32)","(20.22, 1.31)","(141.22, 1.76)","(22.07, 1.16)","(174.2, 1.64)","(140.85, 1.75)"
emt-dlfr,1.0,,"(53.21, 1.45)","(51.88, 2.12)","(52.34, 2.23)","(51.21, 2.85)","(16.62, 0.86)","(16.62, 0.86)","(143.06, 1.46)","(6.28, 1.42)","(176.9, 2.42)","(142.85, 1.04)"
emt-dlfr,AUC,,69.7,69.4,70.2,69.9,34.2,31.0,110.2,49.5,137.5,110.2
emt-dlfr,0.0,,"(82.7, 0.45)","(82.65, 0.47)","(84.35, 0.5)","(84.35, 0.52)","(51.9, 1.19)","(46.4, 1.13)","(72.23, 1.19)","(79.4, 0.2)","(72.66, 0.75)","(72.66, 0.75)"
emt-dlfr,0.1,,"(80.47, 0.24)","(80.45, 0.24)","(81.96, 0.4)","(82.01, 0.41)","(47.23, 0.32)","(42.03, 0.48)","(78.13, 0.93)","(76.28, 0.61)","(102.63, 0.37)","(78.37, 1.1)"
emt-dlfr,0.2,,"(78.72, 0.41)","(78.74, 0.41)","(79.93, 0.4)","(80.01, 0.39)","(45.38, 0.89)","(40.38, 1.09)","(85.88, 1.4)","(70.58, 0.41)","(109.42, 1.32)","(85.36, 1.38)"
emt-dlfr,0.3,,"(77.16, 0.91)","(77.19, 0.92)","(78.25, 0.8)","(78.35, 0.8)","(41.01, 2.16)","(36.83, 2.21)","(92.41, 0.25)","(65.65, 0.35)","(119.61, 0.61)","(92.85, 0.13)"
emt-dlfr,0.4,,"(72.5, 0.77)","(72.54, 0.75)","(73.07, 0.68)","(73.2, 0.67)","(38.1, 1.55)","(33.92, 1.08)","(104.85, 2.21)","(56.6, 0.4)","(131.31, 3.03)","(104.65, 2.29)"
emt-dlfr,0.5,,"(69.39, 1.15)","(69.4, 1.2)","(70.02, 1.37)","(70.13, 1.41)","(33.72, 1.31)","(30.17, 0.95)","(112.87, 2.75)","(51.22, 0.74)","(141.66, 5.64)","(113.47, 3.47)"
emt-dlfr,0.6,,"(66.76, 0.78)","(66.82, 0.79)","(66.97, 0.85)","(67.14, 0.86)","(31.63, 1.66)","(28.96, 1.62)","(121.75, 1.32)","(40.92, 2.07)","(151.03, 0.7)","(122.08, 0.65)"
emt-dlfr,0.7,,"(64.14, 0.93)","(64.08, 0.92)","(64.63, 1.19)","(64.69, 1.18)","(27.45, 0.79)","(25.41, 0.79)","(125.28, 3.03)","(37.12, 2.12)","(154.79, 1.64)","(125.1, 2.87)"
emt-dlfr,0.8,,"(62.1, 0.52)","(61.86, 0.69)","(61.49, 0.71)","(61.42, 0.84)","(23.28, 1.19)","(21.86, 0.63)","(133.05, 2.87)","(31.47, 0.69)","(164.89, 4.81)","(133.0, 3.19)"
emt-dlfr,0.9,,"(57.0, 0.67)","(55.42, 1.85)","(56.55, 1.02)","(55.1, 2.19)","(20.07, 1.62)","(19.73, 1.55)","(141.65, 5.15)","(20.72, 3.73)","(174.73, 6.56)","(141.12, 5.25)"
emt-dlfr,1.0,,"(55.05, 0.45)","(54.75, 0.12)","(55.28, 0.95)","(55.13, 0.48)","(16.67, 0.25)","(16.67, 0.25)","(140.4, 1.21)","(6.54, 1.2)","(174.65, 0.49)","(140.38, 1.22)"
emt-dlfr,AUC,,69.7,69.5,70.3,70.2,34.2,31.1,110.2,49.4,137.4,110.3
emt-dlfr,0.0,,"(82.9, 0.14)","(82.85, 0.14)","(84.6, 0.13)","(84.61, 0.12)","(50.78, 2.05)","(44.7, 1.91)","(72.43, 0.68)","(79.66, 0.46)","(72.86, 0.41)","(72.86, 0.41)"
emt-dlfr,0.1,,"(80.47, 0.41)","(80.43, 0.37)","(81.96, 0.5)","(81.99, 0.43)","(47.04, 0.95)","(41.55, 0.12)","(80.27, 1.75)","(75.62, 0.79)","(105.62, 1.9)","(80.41, 1.7)"
emt-dlfr,0.2,,"(79.44, 1.25)","(79.46, 1.22)","(80.59, 1.5)","(80.67, 1.46)","(43.92, 1.31)","(39.26, 0.77)","(85.69, 1.47)","(71.12, 0.38)","(110.67, 2.57)","(85.41, 1.55)"
emt-dlfr,0.3,,"(76.43, 0.7)","(76.42, 0.67)","(77.79, 0.83)","(77.85, 0.81)","(41.79, 1.04)","(37.42, 1.0)","(91.6, 1.49)","(65.27, 0.73)","(116.5, 1.27)","(91.01, 0.87)"
emt-dlfr,0.4,,"(72.3, 0.54)","(72.37, 0.54)","(72.82, 0.5)","(72.97, 0.49)","(37.66, 0.66)","(33.38, 0.83)","(105.6, 1.98)","(55.99, 0.49)","(131.55, 3.3)","(105.27, 2.1)"
emt-dlfr,0.5,,"(69.43, 1.58)","(69.38, 1.74)","(69.82, 1.84)","(69.86, 1.99)","(33.77, 1.1)","(30.18, 1.26)","(113.87, 5.11)","(50.24, 0.73)","(143.55, 7.71)","(114.1, 5.98)"
emt-dlfr,0.6,,"(67.01, 0.96)","(67.08, 0.97)","(67.28, 1.04)","(67.45, 1.05)","(32.51, 1.34)","(29.88, 1.44)","(120.51, 3.33)","(39.18, 2.66)","(150.11, 3.02)","(120.51, 2.79)"
emt-dlfr,0.7,,"(63.36, 0.7)","(63.3, 0.78)","(63.72, 0.94)","(63.78, 1.03)","(29.01, 2.75)","(26.72, 2.4)","(126.39, 3.84)","(38.12, 1.67)","(156.09, 3.81)","(126.21, 3.12)"
emt-dlfr,0.8,,"(63.02, 1.19)","(62.87, 1.29)","(62.6, 1.41)","(62.61, 1.48)","(25.22, 1.34)","(23.32, 1.06)","(130.91, 1.81)","(32.75, 0.85)","(162.69, 0.92)","(130.97, 1.24)"
emt-dlfr,0.9,,"(56.07, 1.62)","(53.59, 4.02)","(55.28, 2.34)","(52.96, 4.76)","(19.92, 1.86)","(19.39, 1.64)","(142.16, 4.39)","(22.1, 1.92)","(174.54, 5.06)","(141.3, 4.8)"
emt-dlfr,1.0,,"(53.45, 1.85)","(52.47, 3.24)","(52.64, 2.43)","(51.85, 3.78)","(16.04, 0.43)","(16.04, 0.43)","(142.89, 0.86)","(6.66, 1.09)","(177.38, 1.87)","(142.65, 1.16)"
emt-dlfr,AUC,,69.6,69.3,70.0,69.8,34.4,31.1,110.5,49.4,137.6,110.3
emt-dlfr,0.0,,"(83.28, 0.25)","(83.22, 0.28)","(85.26, 0.31)","(85.25, 0.34)","(52.77, 1.33)","(46.5, 1.15)","(70.81, 0.4)","(79.68, 0.12)","(70.75, 0.38)","(70.75, 0.38)"
emt-dlfr,0.1,,"(80.13, 0.6)","(80.1, 0.55)","(81.6, 0.81)","(81.64, 0.76)","(47.57, 1.38)","(41.4, 1.65)","(78.84, 1.9)","(76.38, 0.56)","(103.4, 2.93)","(78.63, 2.29)"
emt-dlfr,0.2,,"(78.62, 0.25)","(78.65, 0.25)","(79.83, 0.07)","(79.92, 0.07)","(43.44, 0.41)","(39.07, 0.12)","(86.99, 0.71)","(70.36, 0.48)","(112.0, 1.9)","(86.67, 0.73)"
emt-dlfr,0.3,,"(76.19, 0.3)","(76.2, 0.25)","(77.39, 0.38)","(77.47, 0.33)","(41.64, 2.03)","(37.37, 1.81)","(91.72, 1.59)","(65.96, 0.5)","(116.63, 2.79)","(91.65, 1.77)"
emt-dlfr,0.4,,"(71.86, 0.82)","(71.93, 0.83)","(72.36, 0.8)","(72.51, 0.8)","(33.82, 2.89)","(30.66, 2.12)","(108.51, 1.5)","(55.17, 0.94)","(138.38, 2.8)","(108.59, 1.51)"
emt-dlfr,0.5,,"(70.07, 0.18)","(70.05, 0.29)","(70.83, 0.26)","(70.91, 0.3)","(34.4, 0.83)","(30.61, 0.67)","(110.21, 1.54)","(50.3, 2.0)","(139.11, 4.23)","(110.95, 1.87)"
emt-dlfr,0.6,,"(66.57, 0.77)","(66.64, 0.79)","(66.82, 0.47)","(67.0, 0.49)","(32.22, 0.52)","(29.4, 0.45)","(120.89, 1.77)","(40.91, 0.94)","(148.76, 2.39)","(120.18, 1.78)"
emt-dlfr,0.7,,"(64.33, 0.6)","(64.27, 0.81)","(64.73, 0.97)","(64.8, 1.17)","(28.77, 2.09)","(26.34, 1.77)","(124.75, 2.77)","(38.39, 2.66)","(155.03, 2.57)","(124.48, 2.09)"
emt-dlfr,0.8,,"(63.07, 1.56)","(62.78, 1.58)","(62.55, 1.79)","(62.43, 1.86)","(25.32, 1.33)","(23.86, 1.25)","(130.36, 3.25)","(33.16, 1.55)","(163.05, 4.82)","(130.51, 3.7)"
emt-dlfr,0.9,,"(54.76, 0.81)","(53.66, 0.98)","(54.17, 0.92)","(53.22, 1.08)","(19.0, 1.9)","(18.66, 1.68)","(143.8, 2.69)","(17.62, 2.78)","(177.39, 3.57)","(144.29, 2.54)"
emt-dlfr,1.0,,"(55.2, 0.69)","(54.78, 1.34)","(54.83, 1.26)","(54.57, 1.87)","(15.55, 0.3)","(15.55, 0.3)","(141.95, 2.3)","(5.78, 1.21)","(176.55, 2.24)","(141.92, 1.82)"
emt-dlfr,AUC,,69.5,69.3,70.0,70.0,34.0,30.8,110.2,49.1,137.7,110.2
emt-dlfr,0.0,,"(82.8, 0.2)","(82.75, 0.22)","(84.81, 0.15)","(84.81, 0.16)","(51.02, 0.72)","(44.75, 0.31)","(72.18, 0.83)","(79.59, 0.36)","(72.14, 0.69)","(72.14, 0.69)"
emt-dlfr,0.1,,"(80.27, 0.18)","(80.2, 0.19)","(81.91, 0.19)","(81.91, 0.19)","(47.33, 0.14)","(42.23, 0.45)","(77.73, 0.57)","(76.07, 0.21)","(102.66, 1.86)","(77.72, 0.66)"
emt-dlfr,0.2,,"(78.48, 0.07)","(78.46, 0.11)","(79.73, 0.13)","(79.77, 0.14)","(45.53, 0.67)","(41.11, 0.66)","(84.62, 0.4)","(70.86, 0.29)","(108.2, 0.94)","(84.34, 0.5)"
emt-dlfr,0.3,,"(76.48, 0.3)","(76.52, 0.3)","(77.49, 0.29)","(77.59, 0.27)","(41.98, 0.54)","(38.05, 0.52)","(91.89, 0.21)","(65.51, 0.2)","(117.28, 1.61)","(91.65, 0.46)"
emt-dlfr,0.4,,"(72.69, 0.9)","(72.57, 0.86)","(73.83, 1.0)","(73.8, 0.91)","(37.41, 0.42)","(33.63, 0.59)","(101.63, 0.74)","(56.64, 0.88)","(130.72, 0.54)","(101.97, 0.63)"
emt-dlfr,0.5,,"(71.19, 0.59)","(71.22, 0.61)","(71.75, 0.44)","(71.87, 0.44)","(34.99, 0.95)","(31.63, 0.94)","(110.86, 1.01)","(49.86, 0.5)","(139.73, 0.75)","(110.58, 0.75)"
emt-dlfr,0.6,,"(66.18, 0.63)","(66.21, 0.62)","(66.56, 0.38)","(66.71, 0.36)","(31.15, 2.28)","(28.72, 1.95)","(122.09, 1.22)","(40.08, 1.6)","(152.99, 3.03)","(121.93, 0.93)"
emt-dlfr,0.7,,"(64.24, 0.72)","(64.34, 0.72)","(64.84, 0.9)","(65.05, 0.89)","(29.3, 0.84)","(26.63, 0.9)","(125.71, 1.71)","(36.66, 1.58)","(156.61, 1.83)","(125.54, 1.08)"
emt-dlfr,0.8,,"(62.15, 1.46)","(61.88, 1.69)","(61.74, 1.76)","(61.63, 2.0)","(25.99, 0.36)","(24.39, 0.77)","(130.21, 3.22)","(32.26, 2.29)","(163.91, 3.91)","(129.9, 3.73)"
emt-dlfr,0.9,,"(56.27, 0.55)","(56.29, 0.56)","(56.4, 0.69)","(56.56, 0.69)","(21.62, 0.88)","(21.14, 0.67)","(138.88, 2.24)","(20.11, 2.41)","(173.56, 3.17)","(138.83, 2.19)"
emt-dlfr,1.0,,"(53.11, 1.81)","(50.6, 5.09)","(52.23, 2.64)","(49.89, 5.91)","(15.99, 0.36)","(15.99, 0.36)","(145.13, 3.63)","(6.79, 0.68)","(179.9, 3.51)","(144.82, 3.19)"
emt-dlfr,AUC,,69.6,69.4,70.3,70.2,34.9,31.8,109.2,49.1,137.2,109.1
emt-dlfr,0.0,,"(82.9, 0.48)","(82.78, 0.46)","(84.96, 0.61)","(84.91, 0.59)","(53.06, 0.43)","(47.23, 0.24)","(71.19, 0.95)","(79.27, 0.47)","(-235.55, 2.39)","(70.9, 1.01)"
emt-dlfr,0.1,,"(80.56, 0.28)","(80.47, 0.26)","(82.22, 0.36)","(82.19, 0.35)","(49.56, 1.29)","(44.66, 1.07)","(76.2, 0.86)","(76.14, 0.26)","(-192.45, 4.93)","(76.35, 1.01)"
emt-dlfr,0.2,,"(78.62, 0.65)","(78.64, 0.65)","(79.72, 0.54)","(79.81, 0.53)","(44.36, 0.68)","(39.6, 0.69)","(85.79, 0.51)","(70.67, 0.25)","(-168.08, 3.32)","(86.07, 0.71)"
emt-dlfr,0.3,,"(76.24, 0.74)","(76.18, 0.8)","(77.69, 0.47)","(77.72, 0.52)","(41.64, 0.48)","(37.71, 0.59)","(90.88, 0.71)","(65.33, 0.48)","(-158.62, 6.1)","(91.73, 0.68)"
emt-dlfr,0.4,,"(72.98, 0.81)","(73.02, 0.84)","(73.78, 0.65)","(73.9, 0.68)","(38.14, 0.54)","(34.3, 0.66)","(103.23, 0.43)","(56.51, 0.36)","(-121.85, 8.1)","(103.23, 0.63)"
emt-dlfr,0.5,,"(70.65, 1.19)","(70.67, 1.16)","(71.34, 1.68)","(71.46, 1.64)","(34.16, 1.44)","(30.71, 1.79)","(111.7, 1.85)","(50.03, 1.14)","(-93.46, 4.38)","(112.07, 1.64)"
emt-dlfr,0.6,,"(65.94, 1.4)","(66.01, 1.39)","(66.51, 1.49)","(66.7, 1.48)","(31.78, 1.34)","(29.15, 1.15)","(120.91, 3.34)","(39.7, 2.4)","(-77.85, 7.13)","(120.67, 3.2)"
emt-dlfr,0.7,,"(63.32, 0.18)","(63.3, 0.12)","(63.82, 0.14)","(63.93, 0.19)","(27.94, 0.18)","(25.8, 0.24)","(128.08, 1.9)","(34.38, 1.23)","(-58.83, 2.15)","(128.16, 1.86)"
emt-dlfr,0.8,,"(61.66, 0.95)","(61.47, 1.31)","(61.69, 1.21)","(61.63, 1.58)","(25.75, 1.44)","(24.0, 1.39)","(134.18, 1.96)","(30.68, 1.85)","(-45.8, 4.17)","(134.57, 2.0)"
emt-dlfr,0.9,,"(57.0, 2.07)","(56.56, 2.58)","(56.81, 2.26)","(56.5, 2.76)","(22.89, 0.52)","(22.06, 0.38)","(143.66, 6.84)","(18.68, 2.02)","(-12.07, 11.59)","(143.84, 6.81)"
emt-dlfr,1.0,,"(53.79, 0.83)","(53.0, 1.79)","(53.1, 1.07)","(52.49, 2.07)","(16.28, 0.38)","(16.28, 0.38)","(144.36, 2.1)","(7.57, 0.62)","(-82.53, 42.07)","(144.79, 2.33)"
emt-dlfr,AUC,,69.5,69.4,70.3,70.3,35.1,32.0,110.2,48.6,-108.8,110.5
emt-dlfr,0.0,,"(82.85, 0.48)","(82.77, 0.46)","(84.81, 0.71)","(84.8, 0.7)","(51.9, 0.95)","(46.21, 0.24)","(71.81, 0.98)","(79.24, 0.37)","(-228.65, 3.22)","(71.65, 0.71)"
emt-dlfr,0.1,,"(80.57, 0.61)","(80.51, 0.58)","(82.06, 0.68)","(82.07, 0.65)","(48.15, 0.81)","(42.32, 0.77)","(77.77, 1.1)","(76.19, 0.18)","(-182.43, 8.23)","(77.71, 0.8)"
emt-dlfr,0.2,,"(78.72, 0.72)","(78.67, 0.69)","(80.13, 0.73)","(80.15, 0.68)","(45.67, 1.69)","(40.67, 1.24)","(84.58, 1.98)","(70.83, 1.15)","(-168.14, 9.23)","(85.3, 2.0)"
emt-dlfr,0.3,,"(76.24, 0.32)","(76.21, 0.36)","(77.59, 0.25)","(77.64, 0.21)","(41.93, 0.68)","(37.85, 0.25)","(92.24, 1.91)","(65.86, 0.61)","(-150.05, 2.52)","(92.51, 1.79)"
emt-dlfr,0.4,,"(73.32, 0.41)","(73.34, 0.44)","(73.98, 0.19)","(74.08, 0.22)","(37.66, 1.0)","(33.96, 1.24)","(101.99, 0.81)","(57.51, 0.2)","(-128.41, 4.1)","(102.01, 1.46)"
emt-dlfr,0.5,,"(70.36, 0.7)","(70.4, 0.7)","(71.19, 0.54)","(71.32, 0.54)","(34.84, 0.74)","(31.0, 0.84)","(112.49, 1.24)","(49.8, 0.35)","(-96.85, 3.59)","(112.45, 1.25)"
emt-dlfr,0.6,,"(67.1, 0.7)","(67.08, 0.74)","(68.04, 0.5)","(68.12, 0.53)","(34.01, 0.84)","(30.66, 0.77)","(119.9, 0.14)","(40.45, 0.59)","(-78.43, 5.14)","(119.87, 0.44)"
emt-dlfr,0.7,,"(64.19, 1.12)","(64.26, 1.13)","(64.99, 0.94)","(65.16, 0.95)","(29.54, 1.67)","(26.97, 1.26)","(127.36, 0.55)","(36.81, 1.08)","(-56.43, 1.28)","(127.49, 0.91)"
emt-dlfr,0.8,,"(62.59, 0.56)","(62.39, 0.67)","(62.19, 0.66)","(62.15, 0.75)","(25.17, 0.96)","(23.08, 0.45)","(132.94, 1.73)","(30.84, 0.61)","(-42.04, 0.47)","(132.88, 1.46)"
emt-dlfr,0.9,,"(56.56, 1.72)","(56.35, 1.42)","(56.81, 1.8)","(56.74, 1.58)","(20.46, 2.01)","(19.78, 1.75)","(142.86, 2.95)","(17.93, 3.61)","(-20.13, 4.48)","(143.04, 2.61)"
emt-dlfr,1.0,,"(55.3, 1.16)","(55.18, 1.41)","(55.03, 1.51)","(55.08, 1.75)","(17.35, 0.63)","(17.35, 0.63)","(142.84, 0.47)","(6.94, 0.95)","(-114.92, 0.35)","(143.31, 0.93)"
emt-dlfr,AUC,,69.9,69.8,70.7,70.7,35.2,31.8,109.9,48.9,-109.5,110.1
emt-dlfr,0.0,,"(82.36, 0.82)","(82.34, 0.79)","(83.99, 1.08)","(84.02, 1.04)","(51.56, 1.17)","(46.06, 0.74)","(71.48, 1.82)","(80.09, 0.25)","(-236.21, 4.93)","(71.22, 1.89)"
emt-dlfr,0.1,,"(80.57, 0.72)","(80.48, 0.71)","(82.21, 0.76)","(82.19, 0.75)","(48.11, 1.14)","(42.81, 0.49)","(77.23, 0.02)","(76.49, 0.47)","(-187.13, 6.55)","(77.27, 0.36)"
emt-dlfr,0.2,,"(78.48, 0.34)","(78.46, 0.3)","(79.67, 0.52)","(79.72, 0.46)","(45.48, 1.4)","(40.67, 1.15)","(85.22, 2.08)","(70.95, 0.54)","(-172.46, 8.49)","(85.03, 2.36)"
emt-dlfr,0.3,,"(76.14, 0.66)","(76.12, 0.67)","(77.49, 0.69)","(77.54, 0.7)","(41.06, 0.79)","(37.27, 0.86)","(92.94, 2.15)","(64.66, 1.38)","(-154.61, 4.05)","(92.44, 2.32)"
emt-dlfr,0.4,,"(73.42, 0.66)","(73.47, 0.65)","(74.19, 0.73)","(74.31, 0.72)","(38.05, 0.31)","(34.21, 0.18)","(102.42, 1.2)","(57.11, 0.98)","(-127.88, 8.26)","(102.16, 1.62)"
emt-dlfr,0.5,,"(70.6, 0.38)","(70.58, 0.27)","(71.19, 1.11)","(71.28, 1.0)","(32.95, 1.69)","(29.59, 1.58)","(112.5, 2.99)","(50.52, 1.25)","(-100.66, 3.07)","(112.92, 2.82)"
emt-dlfr,0.6,,"(66.33, 0.6)","(66.39, 0.61)","(66.72, 0.69)","(66.9, 0.69)","(32.89, 0.65)","(29.83, 0.3)","(122.61, 0.54)","(40.63, 1.09)","(-81.61, 2.3)","(122.51, 0.91)"
emt-dlfr,0.7,,"(64.14, 0.21)","(64.16, 0.26)","(64.74, 0.31)","(64.87, 0.36)","(28.33, 0.91)","(25.75, 1.2)","(128.32, 3.16)","(36.17, 0.73)","(-61.99, 7.83)","(128.84, 3.26)"
emt-dlfr,0.8,,"(62.97, 0.21)","(62.86, 0.46)","(62.65, 0.54)","(62.69, 0.76)","(25.17, 0.54)","(23.23, 0.55)","(131.72, 2.46)","(31.82, 0.83)","(-42.52, 11.99)","(131.99, 2.39)"
emt-dlfr,0.9,,"(57.24, 0.5)","(56.43, 0.31)","(56.71, 0.54)","(56.06, 0.36)","(21.87, 0.43)","(21.19, 0.18)","(141.52, 3.32)","(22.24, 0.3)","(-4.13, 13.7)","(141.34, 2.94)"
emt-dlfr,1.0,,"(53.31, 2.3)","(50.33, 5.7)","(52.54, 3.41)","(49.73, 6.69)","(17.01, 0.88)","(17.01, 0.88)","(143.93, 3.16)","(6.5, 1.3)","(-107.96, 9.16)","(143.98, 3.33)"
emt-dlfr,AUC,,69.8,69.5,70.4,70.2,34.8,31.6,110.2,49.4,-110.5,110.2
emt-dlfr,0.0,"222,2222,22222","(83.19, 0.07)","(83.11, 0.09)","(85.16, 0.15)","(85.15, 0.13)","(53.55, 1.43)","(47.33, 0.99)","(70.83, 1.11)","(79.82, 0.62)","(-237.62, 4.23)","(70.88, 1.01)"
emt-dlfr,0.1,"222,2222,22222","(78.96, 0.42)","(78.97, 0.38)","(80.54, 0.5)","(80.62, 0.47)","(45.73, 0.45)","(40.86, 0.49)","(84.51, 1.61)","(70.28, 0.87)","(-181.75, 9.8)","(83.94, 1.42)"
emt-dlfr,0.2,"222,2222,22222","(78.81, 0.5)","(78.86, 0.49)","(79.83, 0.4)","(79.93, 0.4)","(43.93, 1.08)","(39.89, 0.9)","(90.06, 1.35)","(66.25, 0.51)","(-165.82, 3.51)","(89.89, 0.9)"
emt-dlfr,0.3,"222,2222,22222","(75.03, 0.36)","(75.06, 0.4)","(76.07, 0.33)","(76.18, 0.31)","(40.33, 1.3)","(37.03, 1.26)","(99.75, 1.68)","(58.99, 1.05)","(-139.84, 5.75)","(99.32, 1.63)"
emt-dlfr,0.4,"222,2222,22222","(73.37, 1.08)","(73.44, 1.09)","(73.73, 1.18)","(73.88, 1.18)","(36.01, 1.14)","(32.94, 0.84)","(104.78, 0.94)","(57.03, 0.75)","(-121.27, 1.56)","(104.61, 0.94)"
emt-dlfr,0.5,"222,2222,22222","(70.02, 0.18)","(70.08, 0.2)","(70.93, 0.47)","(71.1, 0.49)","(33.33, 1.74)","(30.42, 1.67)","(113.43, 1.05)","(49.44, 1.04)","(-97.6, 2.58)","(112.7, 0.95)"
emt-dlfr,0.6,"222,2222,22222","(65.31, 1.25)","(65.03, 1.47)","(65.35, 1.57)","(65.21, 1.77)","(28.62, 0.61)","(25.9, 0.18)","(128.35, 2.84)","(41.98, 0.15)","(-69.97, 5.29)","(128.4, 3.05)"
emt-dlfr,0.7,"222,2222,22222","(62.54, 1.14)","(62.31, 1.57)","(62.75, 1.58)","(62.66, 2.0)","(27.6, 1.31)","(25.27, 0.9)","(132.55, 3.68)","(35.33, 0.31)","(-65.05, 5.59)","(131.99, 3.73)"
emt-dlfr,0.8,"222,2222,22222","(59.04, 0.41)","(58.62, 0.36)","(58.99, 0.33)","(58.71, 0.43)","(26.73, 1.07)","(24.54, 1.29)","(142.01, 1.19)","(24.75, 2.06)","(-36.45, 5.92)","(141.45, 0.67)"
emt-dlfr,0.9,"222,2222,22222","(58.55, 0.79)","(58.28, 0.61)","(58.13, 0.56)","(58.03, 0.6)","(21.04, 0.99)","(19.87, 1.03)","(147.02, 0.74)","(14.86, 2.52)","(-18.54, 4.14)","(146.21, 0.7)"
emt-dlfr,1.0,"222,2222,22222","(53.45, 2.2)","(50.88, 3.58)","(52.69, 3.29)","(50.31, 4.62)","(16.08, 0.7)","(16.08, 0.7)","(145.0, 4.24)","(6.69, 0.67)","(-78.28, 43.93)","(145.11, 4.24)"
emt-dlfr,AUC,"222,2222,22222",69.0,68.8,69.5,69.4,33.8,30.8,115.0,46.2,-105.4,114.7
