Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(57.78, 1.83)","(57.1, 2.05)","(57.42, 2.0)","(56.9, 2.24)","(18.85, 3.06)","(18.56, 2.65)","(140.35, 0.64)","(22.87, 5.85)","(-3.62, 12.03)","(140.36, 1.27)"
emt-dlfr,"(56.61, 6.34)","(53.13, 11.0)","(55.85, 7.28)","(52.48, 11.97)","(19.24, 2.66)","(18.56, 2.23)","(141.98, 5.14)","(24.12, 5.73)","(-11.24, 24.22)","(142.27, 5.23)"
emt-dlfr,"(58.02, 1.72)","(57.93, 1.65)","(57.88, 1.99)","(57.93, 1.9)","(20.8, 3.88)","(19.68, 3.09)","(141.49, 1.97)","(20.62, 7.84)","(-19.83, 5.36)","(141.85, 2.16)"
emt-dlfr,"(55.49, 0.97)","(53.74, 2.05)","(54.72, 1.29)","(53.13, 2.39)","(17.83, 0.72)","(17.74, 0.61)","(142.69, 1.66)","(19.38, 1.09)","(-1.21, 11.99)","(143.08, 1.33)"
emt-dlfr,"(56.22, 3.11)","(54.04, 6.07)","(55.59, 3.86)","(53.55, 6.84)","(17.2, 0.43)","(17.2, 0.43)","(142.1, 5.17)","(14.39, 3.6)","(167.83, 5.62)","(142.35, 4.61)"
emt-dlfr,"(54.42, 6.06)","(50.02, 12.0)","(53.41, 7.05)","(49.14, 13.05)","(17.54, 1.93)","(17.15, 1.38)","(142.69, 2.81)","(13.85, 7.8)","(170.6, 3.34)","(142.93, 3.38)"
emt-dlfr,"(60.59, 2.28)","(59.22, 3.7)","(59.7, 2.88)","(58.52, 4.25)","(24.63, 2.14)","(23.08, 1.65)","(135.13, 8.51)","(32.31, 0.81)","(166.52, 10.14)","(134.89, 9.12)"
emt-dlfr,"(63.02, 0.49)","(62.95, 0.52)","(62.65, 0.57)","(62.74, 0.62)","(27.31, 1.49)","(25.36, 1.65)","(132.19, 3.45)","(31.8, 2.8)","(163.85, 3.6)","(131.7, 3.65)"
emt-dlfr,"(61.18, 0.45)","(60.47, 0.53)","(60.37, 0.5)","(59.86, 0.57)","(22.3, 1.14)","(20.8, 1.08)","(134.04, 1.45)","(31.74, 0.83)","(167.29, 2.9)","(134.33, 1.62)"
emt-dlfr,"(62.1, 0.52)","(61.86, 0.69)","(61.49, 0.71)","(61.42, 0.84)","(23.28, 1.19)","(21.86, 0.63)","(133.05, 2.87)","(31.47, 0.69)","(164.89, 4.81)","(133.0, 3.19)"
emt-dlfr,"(63.02, 1.19)","(62.87, 1.29)","(62.6, 1.41)","(62.61, 1.48)","(25.22, 1.34)","(23.32, 1.06)","(130.91, 1.81)","(32.75, 0.85)","(162.69, 0.92)","(130.97, 1.24)"
emt-dlfr,"(63.07, 1.56)","(62.78, 1.58)","(62.55, 1.79)","(62.43, 1.86)","(25.32, 1.33)","(23.86, 1.25)","(130.36, 3.25)","(33.16, 1.55)","(163.05, 4.82)","(130.51, 3.7)"
emt-dlfr,"(62.15, 1.46)","(61.88, 1.69)","(61.74, 1.76)","(61.63, 2.0)","(25.99, 0.36)","(24.39, 0.77)","(130.21, 3.22)","(32.26, 2.29)","(163.91, 3.91)","(129.9, 3.73)"
emt-dlfr,"(61.66, 0.95)","(61.47, 1.31)","(61.69, 1.21)","(61.63, 1.58)","(25.75, 1.44)","(24.0, 1.39)","(134.18, 1.96)","(30.68, 1.85)","(-45.8, 4.17)","(134.57, 2.0)"
emt-dlfr,"(62.59, 0.56)","(62.39, 0.67)","(62.19, 0.66)","(62.15, 0.75)","(25.17, 0.96)","(23.08, 0.45)","(132.94, 1.73)","(30.84, 0.61)","(-42.04, 0.47)","(132.88, 1.46)"
emt-dlfr,"(62.97, 0.21)","(62.86, 0.46)","(62.65, 0.54)","(62.69, 0.76)","(25.17, 0.54)","(23.23, 0.55)","(131.72, 2.46)","(31.82, 0.83)","(-42.52, 11.99)","(131.99, 2.39)"
emt-dlfr,"(59.04, 0.41)","(58.62, 0.36)","(58.99, 0.33)","(58.71, 0.43)","(26.73, 1.07)","(24.54, 1.29)","(142.01, 1.19)","(24.75, 2.06)","(-36.45, 5.92)","(141.45, 0.67)"
emt-dlfr,"(58.45, 0.43)","(58.47, 0.43)","(59.2, 0.26)","(59.32, 0.26)","(27.26, 1.03)","(25.36, 0.83)","(139.28, 2.03)","(22.73, 0.84)","(-11.25, 4.74)","(138.89, 2.27)"
emt-dlfr,"(58.16, 2.38)","(57.52, 3.35)","(58.18, 3.09)","(57.67, 4.04)","(25.32, 1.58)","(23.23, 1.48)","(142.62, 10.5)","(24.98, 3.31)","(-8.95, 19.31)","(142.73, 10.06)"
emt-dlfr,"(61.37, 1.21)","(60.77, 1.61)","(60.87, 1.6)","(60.45, 2.02)","(25.66, 1.06)","(23.86, 1.2)","(135.57, 3.8)","(31.87, 0.77)","(-57.18, 22.02)","(135.1, 3.7)"
emt-dlfr,"(62.59, 0.56)","(62.39, 0.67)","(62.19, 0.66)","(62.15, 0.75)","(25.17, 0.96)","(23.08, 0.45)","(132.94, 1.73)","(30.84, 0.61)","(-42.04, 0.47)","(132.88, 1.46)"
emt-dlfr,"(62.0, 0.9)","(61.71, 1.13)","(61.89, 1.19)","(61.75, 1.41)","(24.39, 0.7)","(22.35, 0.7)","(133.97, 3.12)","(32.55, 1.43)","(-48.94, 4.64)","(133.97, 3.01)"
emt-dlfr,"(62.15, 0.61)","(62.1, 0.57)","(62.4, 0.31)","(62.49, 0.34)","(26.39, 0.31)","(24.44, 0.18)","(132.71, 1.79)","(31.82, 0.68)","(-48.77, 8.04)","(133.09, 1.3)"
emt-dlfr,"(62.88, 0.54)","(62.67, 0.45)","(62.6, 0.5)","(62.55, 0.44)","(25.85, 0.84)","(24.25, 0.89)","(133.91, 2.67)","(31.87, 0.19)","(-38.46, 4.7)","(134.15, 2.85)"
emt-dlfr,"(62.78, 1.29)","(62.61, 1.46)","(62.55, 1.47)","(62.53, 1.64)","(26.97, 1.44)","(25.12, 1.38)","(132.72, 2.83)","(31.88, 1.87)","(-35.36, 2.17)","(132.56, 3.02)"
emt-dlfr,"(62.88, 0.5)","(62.71, 0.36)","(62.7, 0.51)","(62.68, 0.39)","(24.49, 0.36)","(22.55, 0.38)","(135.36, 1.55)","(31.85, 0.65)","(-12.21, 2.36)","(134.78, 1.62)"
emt-dlfr,"(62.59, 1.43)","(62.64, 1.42)","(62.91, 1.5)","(63.09, 1.49)","(26.82, 0.95)","(25.07, 1.02)","(130.26, 3.37)","(32.39, 2.03)","(-27.01, 7.03)","(130.6, 3.63)"
emt-dlfr,"(62.39, 0.93)","(62.28, 0.79)","(62.25, 0.97)","(62.28, 0.82)","(27.07, 0.3)","(25.07, 0.48)","(132.65, 2.23)","(32.51, 2.47)","(-21.72, 9.34)","(132.65, 2.06)"
emt-dlfr,"(62.59, 1.43)","(62.64, 1.42)","(62.91, 1.5)","(63.09, 1.49)","(26.82, 0.95)","(25.07, 1.02)","(130.26, 3.37)","(32.39, 2.03)","(-27.01, 7.03)","(130.6, 3.63)"
